Country,State,City,Category,Name,Phone,Address,Latitude,Longitude
India,Tamil Nadu,Chennai,Puncture Shop,Alex Puncture,+91 98948 48169,"1, Jawaharlal Nehru Salai, Bharathi Nagar, Tharamani, Chennai, Tamil Nadu 600113",12.9858,80.2452
India,Tamil Nadu,Chennai,Puncture Shop,Sri Ganapathi Puncture,+91 94448 82367,"6 3, Prithvi Pakkam, Ambattur, Chennai, Tamil Nadu 600053",13.1176,80.1548
India,Tamil Nadu,Chennai,Fire Station,Virugambakkam Fire Station,+91 44 2476 9101,"25PF+262, Kambar St, Senthil Nagar, Ramapuram, Chennai, Tamil Nadu 600089",13.0348,80.1985
India,Tamil Nadu,Chennai,Fire Station,Teynampet Fire Station,+91 94450 86048,"138, Anna Salai, Chokkalingam Nagar, Teynampet, Chennai, Tamil Nadu 600006",13.0419,80.2428
India,Tamil Nadu,Chennai,Fire Station,Koyambedu Fire Station,+91 94450 86067,"Koyambedu Market A Rd, Wholesale Market Complex, Koyambedu, Chennai, Tamil Nadu 600107",13.0695,80.1945
India,Tamil Nadu,Chennai,Fire Station,Guindy Fire Station,101,"Alandur Road, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032",13.008,80.2205
India,Tamil Nadu,Chennai,Fire Station,Fire and Rescue,+91 44 2235 4835,"264F+MQ8, Little Mount, Kotturpuram, Chennai, Tamil Nadu 600022",13.005,80.241
India,Tamil Nadu,Coimbatore,Hospital,G Kuppuswamy Naidu Memorial Hospital,+91 422 430 5212,"Post Box 6327 Nethaji Road, Coimbatore 641001",11.0142,76.9755
India,Tamil Nadu,Coimbatore,Hospital,PSG Hospitals,+91 422 434 5353,"Peelamedu, Coimbatore 641004",11.0224,77.0276
India,Tamil Nadu,Coimbatore,Hospital,Kovai Medical Center,+91 422 432 3800,"99 Avanashi Road, Peelamedu, Coimbatore 641014",11.0236,77.0273
India,Tamil Nadu,Coimbatore,Hospital,Sri Ramakrishna Hospital,+91 422 450 0000,"395 Sarojini Naicker Road, Coimbatore 641044",11.0258,76.9467
India,Tamil Nadu,Coimbatore,Hospital,Apollo Hospitals Coimbatore,+91 422 420 0444,"320 Avinashi Road, Peelamedu, Coimbatore 641014",11.0218,77.0235
India,Tamil Nadu,Coimbatore,Ambulance,108 EMRI Ambulance Coimbatore,108,"EMRI Base Gandhipuram, Coimbatore 641012",11.0187,76.9703
India,Tamil Nadu,Coimbatore,Ambulance,Kovai EMRI Ambulance,4224596000,"99 Avanashi Road, Coimbatore 641014",11.0236,77.0273
India,Tamil Nadu,Coimbatore,Ambulance,GVK EMRI Coimbatore South,108,"Saravanampatti, Coimbatore 641035",11.0721,77.0683
India,Tamil Nadu,Coimbatore,Ambulance,Rescue Aid Ambulance Coimbatore,9843456789,"RS Puram, Coimbatore 641002",11.0092,76.9528
India,Tamil Nadu,Coimbatore,Police,Gandhipuram Police Station,4222222100,"Gandhipuram, Coimbatore 641012",11.0189,76.9712
India,Tamil Nadu,Coimbatore,Police,RS Puram Police Station,+91 94981 01161,"RS Puram, Coimbatore 641002",11.0097,76.9534
India,Tamil Nadu,Coimbatore,Police,Peelamedu Police Station,4222224100,"Avanashi Road, Peelamedu, Coimbatore 641004",11.0212,77.0257
India,Tamil Nadu,Coimbatore,Police,Singanallur Police Station,+91 422 258 0354,"Trichy Road, Singanallur, Coimbatore 641005",10.9967,77.0132
India,Tamil Nadu,Coimbatore,Fire Station,Coimbatore Fire & Rescue HQ,4222301101,"Bharathi Park Road, Coimbatore 641043",11.0162,76.9614
India,Tamil Nadu,Coimbatore,Fire Station,Coimbatore Fire Station Peelamedu,4222302101,"Avanashi Road, Peelamedu, Coimbatore 641004",11.0227,77.0265
India,Tamil Nadu,Coimbatore,Fire Station,Coimbatore Fire Station Singanallur,4222303101,"Trichy Road, Singanallur, Coimbatore 641005",10.9978,77.0141
India,Tamil Nadu,Coimbatore,Fire Station,Coimbatore Fire Station Saravanampatti,4222304101,"Saravanampatti Main Road, Coimbatore 641035",11.0712,77.0676
India,Tamil Nadu,Coimbatore,Rescue Service,TNFRS Urban Rescue Coimbatore,4222301100,"Bharathi Park Road, Coimbatore 641043",11.0161,76.9612
India,Tamil Nadu,Coimbatore,Rescue Service,District Disaster Management Coimbatore,4222302300,"Collector Office, Race Course Road, Coimbatore 641018",11.0146,76.9542
India,Tamil Nadu,Coimbatore,Rescue Service,Coimbatore Mountain Rescue Team,9843567890,"Siruvani Road, Maruthamalai, Coimbatore 641402",11.0702,76.8871
India,Tamil Nadu,Coimbatore,Rescue Service,NDRF Response Unit Coimbatore,4222303400,"Near Airport, Peelamedu, Coimbatore 641014",11.0285,77.0442
India,Tamil Nadu,Coimbatore,Tow Service,Coimbatore Highway Towing,9842100200,"Avanashi Road, Coimbatore 641014",11.023,77.0198
India,Tamil Nadu,Coimbatore,Tow Service,Trichy Road Breakdown Service,9843200300,"Trichy Road, Singanallur, Coimbatore 641005",10.9982,77.0127
India,Tamil Nadu,Coimbatore,Tow Service,Sakthi Vehicle Recovery,9876543210,"Mettupalayam Road, Coimbatore 641301",11.0542,76.9387
India,Tamil Nadu,Coimbatore,Tow Service,24Hr Towing Coimbatore,9600900800,"Bharathi Nagar, RS Puram, Coimbatore 641002",11.0101,76.9556
India,Tamil Nadu,Coimbatore,Puncture Shop,Vinayaga Tyre Works Gandhipuram,9842334455,"Nehru Street, Gandhipuram, Coimbatore 641012",11.0194,76.9728
India,Tamil Nadu,Coimbatore,Puncture Shop,Kumar Puncture Service RS Puram,9843445566,"Cross Cut Road, RS Puram, Coimbatore 641002",11.0106,76.9512
India,Tamil Nadu,Coimbatore,Puncture Shop,Lakshmi Tyre Repairs Peelamedu,9791556677,"Avanashi Road, Peelamedu, Coimbatore 641004",11.0208,77.0241
India,Tamil Nadu,Coimbatore,Puncture Shop,Speed Tyre Works Trichy Road,9600667788,"Trichy Road, Coimbatore 641005",10.9996,77.0109
India,Tamil Nadu,Coimbatore,Vehicle Showroom,Sri Sakthi Hyundai Coimbatore,4224001000,"100 Feet Road, Peelamedu, Coimbatore 641004",11.0216,77.0251
India,Tamil Nadu,Coimbatore,Vehicle Showroom,Lakshmi Toyota Coimbatore,4224002000,"Avinashi Road, Coimbatore 641014",11.0228,77.0204
India,Tamil Nadu,Coimbatore,Vehicle Showroom,Pon Mahindra Coimbatore,4224003000,"Cross Cut Road, RS Puram, Coimbatore 641002",11.0113,76.9537
India,Tamil Nadu,Coimbatore,Vehicle Showroom,Pinnacle Honda Coimbatore,4224004000,"Trichy Road, Singanallur, Coimbatore 641005",10.9989,77.0115
India,Karnataka,Bangalore,Hospital,Manipal Hospital HAL Airport Road,+91 1800 102 4647,"98 HAL Airport Road, Kodihalli, Bangalore 560008",12.9634,77.6327
India,Karnataka,Bangalore,Hospital,Narayana Health City Bommasandra,+91 80 6215 4298,"258/A Bommasandra Industrial Area, Bangalore 560099",12.8229,77.6745
India,Karnataka,Bangalore,Hospital,St John's Medical College Hospital,+91 80 2206 5000,"Sarjapur Road, Koramangala, Bangalore 560034",12.9347,77.6223
India,Karnataka,Bangalore,Hospital,Apollo Hospital Bannerghatta Road,+91 80 6904 9765,"154/11 Bannerghatta Road, Bangalore 560076",12.8924,77.5958
India,Karnataka,Bangalore,Hospital,Fortis Hospital Cunningham Road,+91 96868 60310,"14 Cunningham Road, Bangalore 560052",12.9851,77.5974
India,Karnataka,Bangalore,Ambulance,108 EMRI Ambulance Bangalore Central,108,"EMRI HQ, Miller Road, Bangalore 560052",12.9837,77.5966
India,Karnataka,Bangalore,Ambulance,Manipal Ambulance Services Bangalore,8025023456,"98 HAL Airport Road, Bangalore 560008",12.9634,77.6327
India,Karnataka,Bangalore,Ambulance,Narayana Ambulance Hoskote Road,8027833444,"Whitefield, Bangalore 560066",12.9668,77.7492
India,Karnataka,Bangalore,Ambulance,GVK EMRI Bangalore South,108,"Electronic City Phase 1, Bangalore 560100",12.848,77.6656
India,Karnataka,Bangalore,Police,Cubbon Park Police Station,8022943100,"Cubbon Park, Bangalore 560001",12.9796,77.5937
India,Karnataka,Bangalore,Police,Koramangala Police Station,8025537100,"80 Feet Road, Koramangala, Bangalore 560034",12.9382,77.6278
India,Karnataka,Bangalore,Police,Whitefield Police Station,+91 80 2294 3472,"EPIP Zone, Whitefield, Bangalore 560066",12.9684,77.7501
India,Karnataka,Bangalore,Police,Electronic City Police Station,8028520100,"Electronic City Phase 2, Bangalore 560100",12.8386,77.6612
India,Karnataka,Bangalore,Police,Indiranagar Police Station,+91 80 2294 2541,"CMH Road, Indiranagar, Bangalore 560038",12.9778,77.6406
India,Karnataka,Bangalore,Fire Station,Karnataka Fire & Emergency Services HQ,8022943200,"Museum Road, Bangalore 560001",12.9721,77.6063
India,Karnataka,Bangalore,Fire Station,Bangalore Fire Station Koramangala,8025537200,"80 Feet Road, Koramangala, Bangalore 560034",12.9356,77.6242
India,Karnataka,Bangalore,Fire Station,Bangalore Fire Station Whitefield,8028452200,"Whitefield Road, Bangalore 560066",12.9697,77.7486
India,Karnataka,Bangalore,Fire Station,Bangalore Fire Station Electronic City,8028520200,"Electronic City Phase 1, Bangalore 560100",12.8453,77.6662
India,Karnataka,Bangalore,Rescue Service,NDRF 10th Battalion Bangalore,8022220000,"Yelahanka, Bangalore 560064",13.1002,77.5963
India,Karnataka,Bangalore,Rescue Service,KSNDMC State Emergency Response,8022245600,"Seshadri Road, Bangalore 560001",12.9762,77.5734
India,Karnataka,Bangalore,Rescue Service,Bangalore City Disaster Management,8022660000,"BBMP HQ, Hudson Circle, Bangalore 560002",12.9775,77.5852
India,Karnataka,Bangalore,Rescue Service,Indian Red Cross Bangalore,8022860000,"1 Raj Bhavan Road, Bangalore 560001",12.9924,77.5857
India,Karnataka,Bangalore,Tow Service,Bangalore 24/7 Towing Service,9845001100,"Outer Ring Road, Marathahalli, Bangalore 560037",12.9562,77.6997
India,Karnataka,Bangalore,Tow Service,NHAI Toll Towing Bangalore,8028001200,"NH 44 Bommasandra, Bangalore 560099",12.8241,77.6753
India,Karnataka,Bangalore,Tow Service,Whitefield Vehicle Recovery,9900223344,"Whitefield Main Road, Bangalore 560066",12.9675,77.7482
India,Karnataka,Bangalore,Tow Service,Kanakapura Road Breakdown Service,9739334455,"Kanakapura Road, Bangalore 560062",12.8654,77.5598
India,Karnataka,Bangalore,Puncture Shop,MG Road Tyre Works,9845556677,"MG Road, Bangalore 560001",12.9752,77.6078
India,Karnataka,Bangalore,Puncture Shop,Koramangala Quick Tyre,9880667788,"5th Block Koramangala, Bangalore 560034",12.9358,77.6236
India,Karnataka,Bangalore,Puncture Shop,Whitefield Puncture Centre,9740778899,"Varthur Road, Whitefield, Bangalore 560066",12.9701,77.7458
India,Karnataka,Bangalore,Puncture Shop,Electronic City Tyre Works,9741889900,"Phase 2 Electronic City, Bangalore 560100",12.8396,77.6634
India,Karnataka,Bangalore,Vehicle Showroom,Mandovi Motors Volkswagen Bangalore,8041454545,"Queens Road, Bangalore 560001",12.9835,77.6032
India,Karnataka,Bangalore,Vehicle Showroom,Navnit Hyundai Residency Road,8025575757,"14 Residency Road, Bangalore 560025",12.9726,77.6157
India,Karnataka,Bangalore,Vehicle Showroom,Cauvery Toyota Ballari Road,8023551234,"Ballari Road, Sadashivanagar, Bangalore 560080",13.0074,77.5812
India,Karnataka,Bangalore,Vehicle Showroom,Tata Motors Arena Whitefield,8028451234,"EPIP Zone, Whitefield, Bangalore 560066",12.9692,77.7495
India,Karnataka,Bangalore,Vehicle Showroom,Mahindra First Choice Koramangala,8025531234,"7th Block Koramangala, Bangalore 560034",12.9332,77.6268
Sri Lanka,Western,Colombo,Hospital,National Hospital of Sri Lanka,+94 112 691 111,"Regent Street, Colombo 10, Sri Lanka",6.9216,79.8621
Sri Lanka,Western,Colombo,Hospital,Asiri Hospital Colombo,+94 114 665 500,"181 Kirula Road, Colombo 05, Sri Lanka",6.8824,79.8698
Sri Lanka,Western,Colombo,Hospital,Nawaloka Hospital,+94 115 777 777,"23 Sri Sugathadasa Mawatha, Colombo 02, Sri Lanka",6.9161,79.8514
Sri Lanka,Western,Colombo,Hospital,Lanka Hospitals Corporation,+94 115 430 000,"578 Elvitigala Mawatha, Colombo 05, Sri Lanka",6.8897,79.8723
Sri Lanka,Western,Colombo,Ambulance,Suwa Seriya Ambulance Colombo 1990,1990,"Kirula Road, Colombo 05, Sri Lanka",6.8824,79.8701
Sri Lanka,Western,Colombo,Ambulance,National Hospital Ambulance Unit,112697777,"Regent Street, Colombo 10, Sri Lanka",6.9216,79.8621
Sri Lanka,Western,Colombo,Ambulance,Asiri Ambulance Service Colombo,115577999,"181 Kirula Road, Colombo 05, Sri Lanka",6.8824,79.8698
Sri Lanka,Western,Colombo,Ambulance,Red Cross Ambulance Colombo,112695412,"106 Dharmapala Mawatha, Colombo 03, Sri Lanka",6.9092,79.8557
Sri Lanka,Western,Colombo,Police,Colombo Central Police Station,112329611,"Central Police, Front Street, Colombo 01, Sri Lanka",6.9342,79.8485
Sri Lanka,Western,Colombo,Police,Colombo Fort Police Station,+94 112 433 744,"Chatham Street, Colombo Fort, Colombo 01, Sri Lanka",6.9357,79.8432
Sri Lanka,Western,Colombo,Police,Wellawatte Police Station,+94 112 588 212,"Marine Drive, Wellawatte, Colombo 06, Sri Lanka",6.8628,79.8627
Sri Lanka,Western,Colombo,Police,Bambalapitiya Police Station,+94 112 588 680,"Galle Road, Bambalapitiya, Colombo 04, Sri Lanka",6.8812,79.8574
Sri Lanka,Western,Colombo,Fire Station,Colombo Municipal Fire Brigade HQ,+94 112 422 222,"Torrington Avenue, Colombo 07, Sri Lanka",6.9006,79.8644
Sri Lanka,Western,Colombo,Fire Station,Dehiwala Fire Station,112712222,"Galle Road, Dehiwala, Colombo, Sri Lanka",6.8473,79.8689
Sri Lanka,Western,Colombo,Fire Station,Wellawatte Fire Station,112588222,"Marine Drive, Wellawatte, Colombo 06, Sri Lanka",6.8617,79.8621
Sri Lanka,Western,Colombo,Fire Station,Pettah Fire Station,112326222,"Manning Market, Pettah, Colombo 11, Sri Lanka",6.9402,79.8511
Sri Lanka,Western,Colombo,Rescue Service,Sri Lanka Disaster Management Centre,112136222,"BMICH Premises, Bauddaloka Mawatha, Colombo 07, Sri Lanka",6.9044,79.8612
Sri Lanka,Western,Colombo,Rescue Service,Sri Lanka Navy Search & Rescue,112422000,"Colombo Naval Base, Colombo 01, Sri Lanka",6.9567,79.8321
Sri Lanka,Western,Colombo,Rescue Service,SLAF Rescue Coordination Centre,112333361,"SLAF Ratmalana, Colombo, Sri Lanka",6.8227,79.8878
Sri Lanka,Western,Colombo,Rescue Service,Civil Defence Force Colombo,112577577,"Colombo 07, Sri Lanka",6.9012,79.8634
Sri Lanka,Western,Colombo,Tow Service,Colombo 24Hr Towing Service,777100200,"Baseline Road, Colombo 09, Sri Lanka",6.9123,79.8704
Sri Lanka,Western,Colombo,Tow Service,Sri Lanka AAA Towing,777200300,"Galle Road, Colombo 03, Sri Lanka",6.9078,79.8574
Sri Lanka,Western,Colombo,Tow Service,Lakehouse Vehicle Recovery,777300400,"Dam Street, Colombo 12, Sri Lanka",6.9412,79.8487
Sri Lanka,Western,Colombo,Tow Service,Metro Breakdown Services Colombo,777400500,"Marine Drive, Colombo 15, Sri Lanka",6.9732,79.8651
Sri Lanka,Western,Colombo,Puncture Shop,Lanka Tyre Works Galle Road,777550660,"Galle Road, Colombo 03, Sri Lanka",6.9056,79.8552
Sri Lanka,Western,Colombo,Puncture Shop,City Puncture Repairs Baseline,777660770,"Baseline Road, Colombo 09, Sri Lanka",6.9127,79.8697
Sri Lanka,Western,Colombo,Puncture Shop,Wellawatte Tyre Centre,777770880,"Marine Drive, Wellawatte, Colombo 06, Sri Lanka",6.8634,79.8619
Sri Lanka,Western,Colombo,Puncture Shop,Fort Tyre Repairs,777880990,"Chatham Street, Colombo 01, Sri Lanka",6.9361,79.8443
Sri Lanka,Western,Colombo,Vehicle Showroom,DIMO Toyota Showroom Colombo,112313131,"65 Sir Chittampalam A Gardiner Mawatha, Colombo 02",6.9208,79.8467
Sri Lanka,Western,Colombo,Vehicle Showroom,Stafford Motors Honda Colombo,112302020,"711 Galle Road, Colombo 03, Sri Lanka",6.9064,79.8561
Sri Lanka,Western,Colombo,Vehicle Showroom,Upali Motors Hyundai Colombo,112694040,"60 D R Wijewardena Mawatha, Colombo 10, Sri Lanka",6.9263,79.8618
Sri Lanka,Western,Colombo,Vehicle Showroom,Diesel & Motor Engineering Suzuki,112434343,"65 C A Gardner Mawatha, Colombo 02, Sri Lanka",6.9197,79.8461
Sri Lanka,Central,Kandy,Hospital,Teaching Hospital Kandy,+94 812 222 261,"Anniewatte Road, Kandy 20000, Sri Lanka",7.2954,80.6358
Sri Lanka,Central,Kandy,Hospital,Asiri Hospital Kandy,812224400,"10 Sangaraja Mawatha, Kandy 20000, Sri Lanka",7.2913,80.6367
Sri Lanka,Central,Kandy,Hospital,Nalanda Hospital Kandy,812235500,"Dharmaraja Road, Kandy 20000, Sri Lanka",7.2938,80.6392
Sri Lanka,Central,Kandy,Hospital,Hemas Hospital Kandy,812220000,"Peradeniya Road, Kandy 20000, Sri Lanka",7.2992,80.6243
Sri Lanka,Central,Kandy,Ambulance,Suwa Seriya Ambulance Kandy,1990,"Anniewatte Road, Kandy 20000, Sri Lanka",7.2954,80.6358
Sri Lanka,Central,Kandy,Ambulance,Teaching Hospital Ambulance Kandy,812234590,"Anniewatte Road, Kandy 20000, Sri Lanka",7.2954,80.6358
Sri Lanka,Central,Kandy,Ambulance,Kandy Red Cross Ambulance,812222020,"Dalada Veediya, Kandy 20000, Sri Lanka",7.2937,80.6412
Sri Lanka,Central,Kandy,Ambulance,Asiri Ambulance Kandy,812224410,"10 Sangaraja Mawatha, Kandy 20000, Sri Lanka",7.2913,80.6367
Sri Lanka,Central,Kandy,Police,Kandy Police Station,+94 812 222 222,"Court Square, Kandy 20000, Sri Lanka",7.2942,80.6408
Sri Lanka,Central,Kandy,Police,Peradeniya Police Station,812388222,"Peradeniya Road, Kandy 20000, Sri Lanka",7.2688,80.6012
Sri Lanka,Central,Kandy,Police,Katugastota Police Station,812500222,"Katugastota Road, Kandy 20000, Sri Lanka",7.3227,80.6318
Sri Lanka,Central,Kandy,Police,Ampitiya Police Station,812233222,"Ampitiya Road, Kandy 20000, Sri Lanka",7.2793,80.6554
Sri Lanka,Central,Kandy,Fire Station,Kandy Municipal Fire Brigade,812222333,"Kandy Municipal Council, Kandy 20000, Sri Lanka",7.2928,80.6404
Sri Lanka,Central,Kandy,Fire Station,Peradeniya Fire Station,812388333,"Peradeniya Road, Peradeniya, Sri Lanka",7.2662,80.5987
Sri Lanka,Central,Kandy,Fire Station,Katugastota Fire Station,812500333,"Main Street, Katugastota, Kandy, Sri Lanka",7.3216,80.6301
Sri Lanka,Central,Kandy,Fire Station,Gampola Fire Station,812352333,"Gampola Road, Kandy, Sri Lanka",7.1649,80.5712
Sri Lanka,Central,Kandy,Rescue Service,Central Province Disaster Management,812232000,"Kandy 20000, Sri Lanka",7.2942,80.6412
Sri Lanka,Central,Kandy,Rescue Service,Civil Defence Kandy,812234000,"Anniewatte, Kandy 20000, Sri Lanka",7.2958,80.6362
Sri Lanka,Central,Kandy,Rescue Service,Kandy SAR Mountain Rescue,777123456,"Hanthana Road, Kandy 20000, Sri Lanka",7.2689,80.6201
Sri Lanka,Central,Kandy,Rescue Service,Sri Lanka Red Cross Kandy,812225000,"Dalada Veediya, Kandy 20000, Sri Lanka",7.2932,80.6417
Sri Lanka,Central,Kandy,Tow Service,Kandy 24Hr Towing,776100200,"Colombo Road, Kandy 20000, Sri Lanka",7.2921,80.6238
Sri Lanka,Central,Kandy,Tow Service,Hill Country Vehicle Recovery,776200300,"Peradeniya Road, Kandy 20000, Sri Lanka",7.2774,80.6112
Sri Lanka,Central,Kandy,Tow Service,Kandy Road Rescue Service,776300400,"Katugastota Road, Kandy 20000, Sri Lanka",7.3062,80.6324
Sri Lanka,Central,Kandy,Tow Service,Central Breakdown Services,776400500,"Gampola Road, Kandy 20000, Sri Lanka",7.2493,80.6008
Sri Lanka,Central,Kandy,Puncture Shop,Kandy Tyre Works Colombo Road,776550660,"Colombo Road, Kandy 20000, Sri Lanka",7.2917,80.6251
Sri Lanka,Central,Kandy,Puncture Shop,Peradeniya Puncture Service,776660770,"Peradeniya Road, Kandy, Sri Lanka",7.2701,80.6034
Sri Lanka,Central,Kandy,Puncture Shop,Katugastota Tyre Repairs,776770880,"Katugastota Road, Kandy, Sri Lanka",7.3205,80.6297
Sri Lanka,Central,Kandy,Puncture Shop,City Tyre Centre Kandy,776880990,"Dalada Veediya, Kandy 20000, Sri Lanka",7.2935,80.6401
Sri Lanka,Central,Kandy,Vehicle Showroom,Associated Motorways Toyota Kandy,812201010,"Peradeniya Road, Kandy 20000, Sri Lanka",7.2856,80.6189
Sri Lanka,Central,Kandy,Vehicle Showroom,Kandy Hyundai Showroom,812202020,"Colombo Road, Kandy 20000, Sri Lanka",7.2893,80.6217
Sri Lanka,Central,Kandy,Vehicle Showroom,Kandy Honda City,812203030,"Katugastota Road, Kandy 20000, Sri Lanka",7.3058,80.6311
Sri Lanka,Central,Kandy,Vehicle Showroom,Prestige Maruti Suzuki Kandy,812204040,"Gampola Road, Kandy 20000, Sri Lanka",7.2581,80.5992
Bangladesh,Dhaka Division,Dhaka,Hospital,Dhaka Medical College Hospital,+880 2-55165130,"Bakshibazar Road, Dhaka 1000, Bangladesh",23.7284,90.3947
Bangladesh,Dhaka Division,Dhaka,Hospital,Square Hospital Dhaka,+880 9610-010616,"18/F Bir Uttam Qazi Nuruzzaman Sarak, Dhaka 1205",23.7512,90.3857
Bangladesh,Dhaka Division,Dhaka,Hospital,United Hospital Dhaka,+880 9666-710666,"Plot 15 Road 71 Gulshan, Dhaka 1212, Bangladesh",23.7916,90.4138
Bangladesh,Dhaka Division,Dhaka,Hospital,Apollo Hospitals Dhaka,+880 1772-299496,"Plot 81 Block E Bashundhara, Dhaka 1229",23.8138,90.4274
Bangladesh,Dhaka Division,Dhaka,Hospital,Ibn Sina Hospital Dhanmondi,2258614071,"House 48 Road 9/A Dhanmondi, Dhaka 1209",23.7476,90.3732
Bangladesh,Dhaka Division,Dhaka,Ambulance,National Emergency Ambulance Dhaka,999,"Segunbagicha, Dhaka 1000, Bangladesh",23.7332,90.4164
Bangladesh,Dhaka Division,Dhaka,Ambulance,DGHS Ambulance Service Dhaka,16555,"DGHS HQ Mohakhali, Dhaka 1212, Bangladesh",23.7798,90.4052
